,title,homesection,publishdate,pageviews,popularity
3716,TV: Kaptajn blodtud,Sjællandnord,2018-11-27 16:44:10 UTC,155,0
20488,Labours leder: Vi kan ikke støtte Mays brexitaftale,Politik,2018-11-18 12:20:23 UTC,1483,0
24768,Dansk VM-modstander mister profil: - Det er et stort slag,VM 2018,2018-05-05 08:02:17 UTC,15827,1
10205,Supermarked raseret af brand: - Jeg har det selvfølgelig ikke særlig godt,112,2018-04-02 09:39:55 UTC,48068,1
26484,En dansker strålede mod USA - og en overraskede!,Ishockey,2018-05-05 22:39:17 UTC,23866,1
30285,Kommuner trodser regeringen med højere skat,Dansk politik,2018-09-19 06:31:05 UTC,1,0
9947,Havde skænderi med konen: Styrter fly ned i eget hjem,112,2018-08-14 06:29:18 UTC,21469,1
17233,Iran henretter otte IS-krigere,Ritzau,2018-07-07 09:54:13 UTC,424,0
13917,Verdens mest magtfulde mod verdens rigeste,Finans,2018-07-23 20:18:01 UTC,57,0
32708,Fodboldspiller bryder tabu: Springer ud som homoseksuel,Intl. fodbold,2018-06-30 07:15:59 UTC,121416,1
12043,TV: 'Vi snupper dem på straffe',Fyn,2018-10-02 17:23:48 UTC,187,0
16843,Ubådssagen: Livstid er meget sjældent i sager om ét drab,Ritzau,2018-04-23 06:00:06 UTC,13,0
12688,Taget på fersk gerning: Bagageportør smider med kufferterne,Ferie,2018-05-30 13:42:41 UTC,14470,1
12730,Den usynkelige skude: NU skal Titanic sejle igen,Ferie,2018-10-25 08:46:06 UTC,77562,1
4990,'Engang var min største drøm at blive bandemedlem',Ahmad Mahmoud,2018-09-25 14:09:38 UTC,410,0
4698,På sporet af 13-årig: Mors veninde stak af med skoleelev ,Nyheder,2018-05-27 17:02:58 UTC,80743,1
27267,Mette F er for fremmedfjendsk: Sikandar vil ha’ Elbæk som statsminister,nationen,2018-06-11 10:31:48 UTC,4507,0
14655,Amazon-topchef løfter sløret for antallet af Prime-brugere,Finans,2018-04-19 22:52:01 UTC,1,0
28813,Det så du ikke på tv: Brøndby-fans i kæmpe Larsen-hyldest,Superligaen,2018-10-01 11:09:14 UTC,24353,1
27143,Malerfirmaet Klatgæld..!,ingemann,2018-08-22 20:15:59 UTC,11232,0
21761,Britisk forsvarsminister slår alarm: Antallet af russiske ubåde er tidoblet,Samfund,2018-05-31 22:33:26 UTC,73909,1
18865,Stor dansk indsats bag talentets sprintsejr,Cykling,2018-04-04 17:35:38 UTC,1452,0
22539,Major om Mays ubåde: - Det er sidste chance,Samfund,2018-04-12 12:59:01 UTC,41564,1
4051,Slemme piger får bedst sex,Plus,2018-09-03 20:50:29 UTC,103,0
4877,Superstjernen har truffet sit valg: Scorer næsten en milliard!,Anden sport,2018-07-02 06:16:03 UTC,21325,1
30075,3 Finger Jack Old Vine Zinfandel 2015,New Articles,2018-09-27 11:09:24 UTC,1,0
22023,DMI advarer: Voldsomt vejr på vej,Samfund,2018-09-19 15:51:18 UTC,53,0
5144,Kære politikere: Der er stemmer i at sige undskyld,Nima Zamani,2018-11-02 11:57:33 UTC,2392,0
20571,Så til kaj: Russisk parallel-parkering i dansk havn,Samfund,2018-07-18 17:56:12 UTC,42063,1
35207,Kraftigt jordskælv ryster Japan - flere personer dræbt,Krig & katastrofer,2018-06-18 03:28:01 UTC,48496,1
19898,Ukip med kontroversielt forslag: Fængsler KUN for muslimer ,Politik,2018-09-23 19:00:29 UTC,8,0
13632,Boligejere med udskældte lån sparer mere fornuftigt op,Finans,2018-11-03 08:28:01 UTC,1,0
2675,Putins hemmelige hær afsløret,Verden,2018-04-19 11:23:47 UTC,10689,0
16520,Mand mister livet i en soloulykke efter sammenstød med mur,Ritzau,2018-06-10 07:32:04 UTC,2,0
2094,Live: Dansk syvendeplads i Elitloppet,Trav,2018-05-27 18:17:40 UTC,3297,0
24837,Medier: Barcelona-legende bliver spansk landstræner,VM 2018,2018-07-09 07:48:17 UTC,31511,1
707,Superligaoprykkere lander historisk god storsponsor,Vejle Boldklub,2018-06-21 11:28:20 UTC,9142,0
32711,Ricardo Moniz færdig i ny klub: - Dommerne bliver betalt,Intl. fodbold,2018-10-31 06:42:47 UTC,25573,1
3314,Bredgaard skriver historie ,Nyheder,2018-04-14 19:15:11 UTC,128,0
1325,SLUT: Ny nedtur for oprykkerne,Vendsyssel FF,2018-10-21 11:48:48 UTC,14621,1
8544,Mand dømt: Truede og røvede mand på åben gade,112,2018-08-14 14:46:45 UTC,1822,0
7966,Flere personer skudt i festlokale i Sverige,112,2018-11-04 03:05:57 UTC,106528,1
11793,Chris efterlyste sin kone og deres døtre: Nu er han mistænkt for mord,112,2018-08-17 19:56:44 UTC,41215,1
20473,Löfven fældet som statsminister: Det sker der nu,Politik,2018-09-25 09:52:48 UTC,100,0
28601,Beyoncé og Jay-Z i Parken: Sådan gik det minut for minut,DK MusikNYT,2018-06-23 20:30:40 UTC,52305,1
27831,KIF Kolding og TTH Holstebro holder fast i semifinalehåb,Håndbold,2018-04-18 20:45:29 UTC,1643,0
31368,Klaus Pagh fra sygesengen: Jeg er ikke død endnu,Danske kendte,2018-07-20 20:01:50 UTC,40707,1
32944,Brøndby kan sige nej til store bud på Mukhtar,Sport og Spil,2018-04-16 20:22:32 UTC,9643,0
32861,Pigen med flagets dystre historie: De kaldte mig ko og zebra,Sport og Spil,2018-06-11 13:47:05 UTC,26232,1
33348,Stort medie afslører: Schmeichel droppet som storklubs førstevalg,Premier League,2018-07-27 22:58:34 UTC,116925,1
26662,Jægersoldaten: Søvn er sjælens brændstof,Meninger,2018-08-12 12:52:56 UTC,585,0
5555,Brandvarm Brøndby-lejesvend afgjorde playoff-gyser,Silkeborg IF,2018-05-24 22:15:28 UTC,25492,1
786,'Hvorfor er det vigtigt at kunne krænke andre mennesker?' ,Leif Donbæk,2018-09-26 13:17:48 UTC,345,0
28034,GoPro går i krig: Vil dræbe rystede videobilleder,Teknologi,2018-09-20 18:23:11 UTC,59,0
18986,Stort VM-drama: Guldvinder besvimede under dopingkontrol,Cykling,2018-09-25 23:21:11 UTC,107,0
14060,Coca-Cola har købt kendt kaffekæde,Finans,2018-08-31 11:38:01 UTC,1,0
29749,Hyper-sexet australier med kulørt kærligheds-liv,Intl. kendte,2018-09-04 22:47:45 UTC,73,0
14374,Overblik: Sådan blev penge vasket hvide hos Danske Bank,Finans,2018-05-03 10:38:02 UTC,4,0
11092,To harmonikasammenstød på motorvej: - Det giver en del kø,112,2018-11-13 07:35:01 UTC,46901,1
34507,Smed veninden ud af Paradise: Sådan er deres forhold i dag,"Film, tv & radio",2018-05-25 20:54:13 UTC,38828,1
12482,Politiet kaldt ud til hundehvalp i en varm bil: - Pas nu på de firbenede!,Biler,2018-05-08 12:33:50 UTC,5558,0
15962,Sommerhusudlejere får flere skattefrie kroner i lommen,Ritzau,2018-05-11 10:13:12 UTC,10,0
13893,Ny prognose: Boligejere vil tjene 3 pct. om året,Finans,2018-04-23 22:23:01 UTC,8,0
33811,Drømmen er død: Barça dropper dyre Eriksen,Spansk fodbold,2018-06-06 16:05:00 UTC,84795,1
32941,Forstå F1's silly season: En tikkende bombe,Sport og Spil,2018-06-22 16:20:46 UTC,6152,0
33407,Fodbold-stjerne rammer forsiderne: Tre børn med tre kvinder på få uger,Premier League,2018-09-24 06:36:43 UTC,251,0
29609,Drønlækker model: Ud med de falske bryster,Intl. kendte,2018-10-20 22:45:34 UTC,122098,1
7909,19-årig sigtes for at slå og sprøjte peber-spray på mand i strid om P-plads,112,2018-10-18 09:41:32 UTC,58896,1
20891,Trumps talskvinde smidt ud af restaurant: - Kan ikke lide din chef,Samfund,2018-06-23 21:27:31 UTC,33434,1
26109,Haas afvist i million-protest,Formel 1,2018-11-24 11:19:46 UTC,35214,1
21546,Dansk firma i frit fald: Falder milliarder i værdi,Samfund,2018-05-15 17:07:19 UTC,223318,1
23547,Landbruget forventer største underskud siden finanskrisen,Samfund,2018-08-21 22:01:40 UTC,145,0
3574,Sportens superstjerne: Min barndom var fyldt med stoffer og kriminalitet,Boksning,2018-10-31 13:55:02 UTC,38118,1
29132,Vildt MTV-party: Prisfest eller pornoshow?,Intl. kendte,2018-08-21 08:55:51 UTC,134078,1
28974,Ståle afviser Norge igen: Takker nej til nyt topjob,Superligaen,2018-05-11 13:49:19 UTC,69443,1
10172,Pige blev misbrugt af sin stedfar i fire år,112,2018-09-20 10:09:10 UTC,4,0
22741,25.000 rammes hvert år: Stort studie afslører alvorlige konsekvenser,Samfund,2018-04-11 23:07:48 UTC,11745,1
5412,Ekstra Bladet: Vores vinder af Elitloppet,Trav,2018-05-26 19:52:00 UTC,540,0
29067,Transferchok: FCK henter gammel kending tilbage,Superligaen,2018-07-02 13:54:36 UTC,158926,1
12741,På hvalsafari ud for Californiens kyst,Ferie,2018-09-08 09:46:36 UTC,32,0
34414,Undrede du dig også? Derfor blev deltagere smidt ud af tv-program,"Film, tv & radio",2018-08-29 22:46:10 UTC,76349,1
27643,Jens-Ole endte på plejecenter i Nyborg: Havde ønsket Nørrebro,nationen,2018-06-06 11:34:52 UTC,18234,1
16383,Bjarne Reuter er igen danskernes absolutte biblioteksfavorit,Ritzau,2018-04-13 08:49:48 UTC,1,0
26226,Pundet brager op efter brexit-aftale i sidste øjeblik,Investor,2018-11-22 12:07:01 UTC,85,0
12914,Rejsende bandlyst på livstid: Tog sexdukke med på flyet,Ferie,2018-06-12 11:07:52 UTC,30950,1
25142,Laudrup færdig i Qatar: Det skal han nu,VM 2018,2018-05-30 13:52:27 UTC,163622,1
19153,Min uge i velfærdens hjerte,Lederen,2018-09-08 20:00:00 UTC,59,0
5201,På spring til Premier League: Dansk målmaskine gør det igen,Engelsk fodbold,2018-11-15 07:24:20 UTC,43209,1
33843,Medie: Omkring 1000 milliarder bliver undersøgt i Danske Banks hvidvasksag,Erhvervsnyheder,2018-09-07 13:00:59 UTC,15,0
26580,Har du også undret dig? Derfor er der tomme sæder til udsolgte VM-kampe,Ishockey,2018-05-06 23:32:08 UTC,64838,1
26483,Dansker midt i sandt målorgie i nat,Ishockey,2018-10-26 06:39:52 UTC,1382,0
24553,Her er dokumentet Zuckerberg aldrig ville lægge på Facebook,Samfund,2018-04-11 12:40:13 UTC,78381,1
2270,Luksusfælden: - Man skal ikke gå ned på udstyr,TV3underholdning,2018-11-06 16:24:22 UTC,68285,1
31193,Se billederne: Så smuk var Kesslers brud,Danske kendte,2018-06-25 16:09:56 UTC,187227,1
8771,Motorvej blev spærret: Bil med ni personer påkørte skilt,112,2018-07-12 22:13:42 UTC,12623,1
5755,31 personer omkommet: Kaptajn prøvede at redde passagerer på revet,TV Nyheder,2018-07-04 22:17:23 UTC,56252,1
17030,Justitsminister drømmer om at indføre den moderne landbetjent,Ritzau,2018-06-16 11:47:12 UTC,1,0
31428,X Factor-værters million-lejlighed til salg: Kom med indenfor,Danske kendte,2018-06-21 12:44:21 UTC,35742,1
28831,Kontroversiel episode stjal fokus: Nu skal Brøndby forklare sig,Superligaen,2018-08-29 10:54:02 UTC,23452,1
8259,Anklage: Nynazistisk terror-par planlagde hvid jihad og døbte deres søn Adolf,112,2018-10-16 23:37:11 UTC,85138,1
12647,40 fulde flyveledere i episode på SAS-fly: Måtte stoppe sprutsalg og flytte børnefamilier,Ferie,2018-04-24 16:32:00 UTC,61241,1
13936,"Tabsramt kurhotel skifter direktør: »Det er rigtigt, at økonomien ikke er god«",Finans,2018-07-31 06:28:01 UTC,35,0
3592,Tilfældighedernes kamp,Sjællandmidt,2018-09-24 14:47:49 UTC,42,0
30540,S: 460 pædagoger til udsatte børn er slet ikke nok,Dansk politik,2018-08-24 08:10:07 UTC,150,0
2462,Blev straffet af sin modstander,Jyllandmidt,2018-09-12 15:36:53 UTC,34,0
9818,Hjemmelavet ret til selskab gav pølseforgiftning,112,2018-06-22 14:47:38 UTC,148978,1
17944,Et slag sender Thorbjørn Olesen hjem før US Open finale,Ritzau,2018-06-16 04:08:48 UTC,2,0
19254,Få overblikket: Det store pokerspil på Borgen,Politik,2018-08-24 20:12:12 UTC,253,0
35031,Perfekt aften sender Danmark tættere på EM,Landsholdsfodbold,2018-09-07 20:08:40 UTC,18,0
33439,Rival-manager chokerer med United-udtalelser,Premier League,2018-10-20 10:49:36 UTC,24688,1
29613,Nu viser hun ham frem: På rød løber med 16 år yngre kæreste,Intl. kendte,2018-05-19 17:54:28 UTC,161595,1
13197,Ferieparadis trækker kontroversielt bikini-forbud tilbage,Ferie,2018-10-18 21:10:22 UTC,19424,1
18788,Vågner fra koma og blodprop - nu jubler han over storsejr,Cykling,2018-04-20 22:01:33 UTC,8078,0
6560,Beskyt dig: Influenza-epidemi truer - en million risikerer at blive ramt,Krop og træning,2018-11-07 13:18:12 UTC,12323,1
488,Bendtner lavede kontroversielt håndtegn - afviser selv,Skandinavien,2018-11-12 08:46:38 UTC,107750,1
6535,Toprocker svigtet på jysk festival,Koncert-anm.,2018-08-24 23:46:07 UTC,22616,1
21661,50 millioner Facebook-brugere hacket: Frygter misbrug ,Samfund,2018-09-28 19:18:18 UTC,1105,0
6432,Dansk stjerne med klasse-kasse i Holland,Holland,2018-04-15 17:07:56 UTC,2896,0
10662,Baby fundet død på fly: Mor mistænkt for at føde om bord,112,2018-07-27 12:45:50 UTC,88073,1
33442,Dansk agent gør det igen: Sælger stjernen til Premier League,Premier League,2018-08-01 11:39:41 UTC,21240,1
23293,Drama på første klasse: Klarinet-stjernes drøm saboteret af lusket ekskæreste ,Samfund,2018-06-16 11:23:50 UTC,63409,1
12650,Genialt trick: Sådan får du din kuffert som den første i lufthavnen,Ferie,2018-06-07 07:10:22 UTC,262454,1
24487,Arla lukker verdens ældste andelsmejeri,Samfund,2018-08-21 15:25:18 UTC,71575,1
25288,Så du det? Engelske stjerner chikaneret af små ubudne gæster,VM 2018,2018-06-19 10:43:34 UTC,30486,1
23267,Lilian leder efter 36 familiemedlemmer: Seks er allerede fundet dræbt,Samfund,2018-06-09 21:23:23 UTC,68648,1
18303,"Pyha, tennisfans: Wozniacki-katastrofe afværget",Tennis,2018-04-28 14:02:12 UTC,27132,1
8360,Kvinde og hund reddet fra mudret havnebassin: Det kunne være gået helt galt,112,2018-04-19 21:11:41 UTC,164424,1
5060,Klar til finaleløb med 25.000 i førstepræmie,Travklub,2018-10-19 19:26:50 UTC,697,0
33256,Kæmpe skifte på vej: Topmålmand beder om Real Madrid-skifte,Premier League,2018-08-05 07:54:47 UTC,52229,1
20892,Medie: May er klar til at fortsætte i toldunion efter 2020,Samfund,2018-05-17 04:47:02 UTC,388,0
25443,Brøndby intensiverer målmandsjagt: Men ønskespilleren er for dyr,Brøndby,2018-05-22 11:01:51 UTC,48861,1
25812,Grosjean lyner: Kevin på overarbejde før kval,Formel 1,2018-09-15 13:17:43 UTC,57,0
4700,Historiens største kamp ender i kæmpe skandale: Tilskuere slår løs på McGregor,MMA,2018-10-07 07:32:45 UTC,221601,1
10218,15-årig dreng dræbt i farlig overgang: Banedanmarks sikkerhed revses igen,112,2018-08-10 07:40:09 UTC,55935,1
29594,63 år: Wrestler-gigant er død,Intl. kendte,2018-08-13 20:24:00 UTC,21672,1
22514,58 gange på 11 år: Flere babyer fødes uden arme i fransk kommune,Samfund,2018-11-01 07:44:29 UTC,32089,1
6141,Har spillet 176 Superliga-kampe: AGF-spiller indstiller karrieren ,AGF,2018-04-21 13:14:15 UTC,12705,1
1503,Magnussen drikker kaffe med Alonso: Kevin-konflikt ikke et tema,Motorsport,2018-09-26 19:27:15 UTC,1737,0
23468,Postdrone til over 400.000 styrter under indvielse,Samfund,2018-04-05 07:43:09 UTC,11376,1
32860,Den bedste plads i F1: Kom helt tæt på Haas-pitvæggen,Sport og Spil,2018-08-11 19:55:55 UTC,1553,0
10041,Bandefigur blev frifundet i byretten: Fik 10 års fængsel i landsretten ,112,2018-04-18 16:30:33 UTC,10692,0
31874,DR-vært afslører: Denne politiker blev ekstra nervøs,Danske kendte,2018-05-21 13:12:43 UTC,37338,1
14637,Statslig topforhandler: Parterne snakker - og det er godt,Finans,2018-04-28 12:38:01 UTC,3,0
30260,Nu bliver Pape og Samuelsen grillet om slettede mails,Dansk politik,2018-08-24 13:07:02 UTC,12167,1
23987,Hjertesyge lider: Der findes ny behandling - men de ved det ikke,Samfund,2018-08-14 07:26:02 UTC,22247,1
14718,Hello Kitty-lyntog på skinner i Japan,Finans,2018-06-30 12:03:01 UTC,12,0
9280,Motorcyklist i alvorlig færdselsulykke ,112,2018-08-28 13:50:52 UTC,35767,1
7522,Mand fundet død ved strand,112,2018-07-25 09:24:10 UTC,103995,1
14553,Fitness.dk er blevet solgt,Finans,2018-06-28 09:31:59 UTC,4,0
29267,Skuespiller smidt af fly,Intl. kendte,2018-10-16 13:49:02 UTC,84155,1
16933,Solrig weekend varmer op til høje temperaturer i næste uge,Ritzau,2018-06-29 06:44:37 UTC,1,0
27678,"Erling: Svært at fortælle et ungt menneske, at han kun kan blive håndværker",nationen,2018-09-13 17:10:30 UTC,529,0
21265,- Jeg skulle aldrig have købt det hus,Samfund,2018-05-29 15:15:55 UTC,298670,1
20876,Må jeg være sygemeldt på kontanthjælp?,Samfund,2018-04-28 22:14:54 UTC,35410,1
12344,Er din bil på listen? Her er de nominerede til Årets Bil i Europa,Biler,2018-11-26 20:50:08 UTC,27829,1
7267,Her bliver gerningsmanden bag politidrab nedkæmpet ,112,2018-05-29 17:12:36 UTC,26963,1
29931,"RF18: Blondine smider tøjet, hvis Danmark vinder",New Articles,2018-07-01 17:57:21 UTC,4,0
18426,Wozniacki-fest endte i kæmpe fuser: Konen skred i vrede,Tennis,2018-05-02 12:15:50 UTC,211651,1
14453,Lars Larsen og Jørgen Mads Clausen flyver med underskud - og pengekassen er snart tom,Finans,2018-04-20 09:18:01 UTC,1,0
34052,Ronaldo så rødt - her falder dommen,Champions League,2018-09-20 16:53:03 UTC,30,0
6496,Værter i ren walkover,Jyllandsyd,2018-09-10 18:10:06 UTC,9,0
33403,Skade ændrer alt for Premier League-dansker,Premier League,2018-08-25 17:01:06 UTC,29633,1
24419,Elizabeth var verdens yngste kvindelige milliardær: Nu er det hele krakeleret ,Samfund,2018-06-17 08:39:52 UTC,195728,1
29215,Grotesk anklage mod skuespiller: Han slog mig i hovedet med sin penis,Intl. kendte,2018-06-13 11:48:18 UTC,104220,1
22286,"Metroarbejdere får 9,5 millioner kroner efter lønsnyd",Samfund,2018-07-20 07:01:20 UTC,3716,0
1252,Scorede kassen: Popstjerne er død,INTL. MusikNYT,2018-05-09 17:39:36 UTC,106594,1
8916,Fem biler stødt sammen på motorvej: Tæt kø,112,2018-04-19 16:16:09 UTC,34650,1
1867,"Spillerne i chok: - Vi får besøg af nr. 9,58 - han er fandens hurtig!",Fodbold,2018-05-30 18:08:56 UTC,36085,1
13521,Norsk stat sælger alle sine SAS-aktier,Finans,2018-06-27 08:38:02 UTC,13,0
17585,Bandeleders trusler skal for Højesteret til november,Ritzau,2018-07-03 10:17:57 UTC,2,0
32398,Nu er de enige: Forelsket FCK-profil klar til klubskifte,FC København,2018-06-18 12:04:31 UTC,28290,1
35326,18 millioner personer: Flere flygter fra klima end krig,Krig & katastrofer,2018-08-30 22:41:44 UTC,10576,0
20666,Zombierne kommer: - Det er simpelthen så fedt at skræmme livet af folk,Samfund,2018-09-23 19:07:55 UTC,41,0
29722,Model med kæmpebryster i udbrud,Intl. kendte,2018-04-05 22:36:37 UTC,205147,1
25757,Vennen ville besøge Schumacher: Her er hans nedslående besked,Formel 1,2018-04-22 23:32:35 UTC,130984,1
4748,FCKs North vender tilbage til vindersporet,E-Sport,2018-05-24 16:12:13 UTC,6464,0
33142,Hård kritik trods åbningssejr: I ødelægger Manchester United,Premier League,2018-08-17 13:50:16 UTC,12795,1
1271,Den store landsholdsquiz: Er du klogere end Danmarks største fodboldfan?,Sport,2018-06-07 13:27:00 UTC,28273,1
6929,Efter 30 år: Anne Linnet ladt i stikken,Koncert-anm.,2018-08-26 21:43:09 UTC,180488,1
35431,Trump: Slut med militærøvelser med Sydkorea,Krig & katastrofer,2018-08-30 02:10:48 UTC,1430,0
34888,Hareide med markant Højbjerg-kritik: - Det var jeg ikke glad for,Landsholdsfodbold,2018-04-17 07:49:28 UTC,75663,1
8373,Frankrig får hug af FN-komité for tildækningsforbud,112,2018-10-23 14:02:59 UTC,351,0
10625,"Tæsket, skudt og smidt i flod: Nu genåbnes 60 år gammel mordsag",112,2018-07-16 19:39:43 UTC,15922,1
27926,Du tror Facebook har slettet alt: Men dine billeder er der stadig,Teknologi,2018-04-15 08:41:17 UTC,19415,1
29985,Her ramte tragedien også,New Articles,2018-08-03 21:12:59 UTC,2,0
259,Dansk hold vinder mesterskab nummer 15 på 21 år,Anden sport,2018-05-07 20:01:44 UTC,1221,0
13243,Den koparrede morder skabte frygt i Frankrig,Krimi,2018-07-21 20:58:27 UTC,5004,0
31080,Store forskelle på overholdelse af udredningsret i regionerne,Dansk politik,2018-09-06 10:28:03 UTC,1,0
8299,"Politiet på lur ved kælderrum: Tre anholdt, da de ville hente pistol",112,2018-05-26 20:18:37 UTC,65867,1
30015,"RF18: Jonas Jung: Der sprøjtes vand på folk, på grund af støv på Roskilde 2",New Articles,2018-07-04 13:44:54 UTC,26,0
13397,Se de skræmmende optagelser: Så vilde er Brøndbys hooligans,Krimi,2018-08-08 19:58:30 UTC,64055,1
31370,Stort svindelnummer fortsætter: Chili Klaus brænder nallerne,Danske kendte,2018-10-19 14:12:20 UTC,115237,1
24470,Rulletrappe lappet med gaffa: - Det er ikke i orden,Samfund,2018-08-01 18:32:40 UTC,3690,0
14013,Aktionærer vil sætte lokalbank til salg – bestyrelsen siger nej,Finans,2018-10-26 09:38:01 UTC,148,0
10830,Politi: Familiemedlem dræbte 58-årig mand i Husum,112,2018-09-18 17:27:36 UTC,20,0
34850,Stig Tøfting har en plan: Lås dem alle sammen inde,Landsholdsfodbold,2018-09-08 13:49:07 UTC,25,0
978,Jeg har altid været en lille knægt med lange lemmer,Krop og træning,2018-07-25 13:29:50 UTC,159,0
10019,Harmonikasammenstød: Dyr løb over vejen,112,2018-11-30 19:35:32 UTC,16811,1
32934,Det så du ikke på tv: Pletskud fra Formel 1-kulissen,Sport og Spil,2018-11-26 10:00:46 UTC,10737,0
24689,Tysk VM-rivegilde: Nu venter afgørende skæbne-samtale,VM 2018,2018-06-28 10:50:33 UTC,9630,0
27407,Kæmpe el-master på vej i Jylland: På Sjælland havde man nok gravet kabler,nationen,2018-04-05 12:13:07 UTC,30405,1
20067,Kæmpe demonstration til støtte for Rusland-undersøgelse,Politik,2018-11-09 03:10:31 UTC,12900,1
23815,Kaptajn på krigsskib brugte Forsvarets penge på stripklub,Samfund,2018-06-14 16:14:59 UTC,25842,1
1934,Folkemøde for de frelste,Özlem Cekic,2018-06-13 12:54:57 UTC,4368,0
10363,Dansk kvinde alvorligt kvæstet i udlandet: To teenagere anholdt,112,2018-06-08 12:01:58 UTC,90580,1
8430,Mand tiltalt: Udgav sig for at være sex-søgende pige - afpressede sit offer,112,2018-06-24 17:06:10 UTC,15350,1
6053,TV: Et fornemt comeback,Storkøbenhavn,2018-04-19 16:57:38 UTC,288,0
26737,Engell: Her skal statsministeren holde kæft,Meninger,2018-07-31 17:10:51 UTC,2738,0
13031,Mor til to død på ferien: Forsikringen ville ikke dække hjemrejsen,Ferie,2018-09-11 13:05:04 UTC,3090,0
22047,Dårligt nyt for kæmpe-hvalen,Samfund,2018-11-28 11:05:16 UTC,67144,1
22487,Sommer i september: 25 grader og masser sol i dag,Samfund,2018-09-18 07:35:23 UTC,8,0
7595,Tyve brød ind på Pernilles grund: Nu deler hun billeder af gerningsmænd,112,2018-07-23 10:37:33 UTC,215057,1
11759,Flere alvorlige højresvingsulykker: To kvinder ramt af lastbiler,112,2018-09-14 13:28:30 UTC,85,0
3544,Tottenham-kant efter frisparksdrøn: Eriksen gav mig lov,Tottenham,2018-08-19 12:51:40 UTC,15538,1
20223,- Denne mand var vendepunktet ,Politik,2018-06-12 12:48:00 UTC,36779,1
1172,Verdens uhyggeligste hus: Her har INGEN holdt ud mere end seks timer,Verden,2018-10-14 13:15:09 UTC,83351,1
29820,Brutal klassetur: 10-årig voldtaget af skolekammerater,New Articles,2018-09-01 11:07:51 UTC,74,0
3825,'Danske Bank udgør en trussel mod fædrelandet',Pelle Dragsted,2018-09-17 10:45:06 UTC,357,0
23463,Pendlere vrede på rejsekortet: Der er begået løftebrud,Samfund,2018-07-07 15:57:13 UTC,10238,0
28327,Ramos kommer med spansk VM-sang: Hør den her,Tipsbladet,2018-06-01 19:01:00 UTC,1,0
14038,Uvildige eksperter før retsopgøret om bidragsstigninger: Realkreditten manglede ikke penge,Finans,2018-04-03 06:03:01 UTC,1,0
17836,EU-tænketank: Trump kan nedlægge den frie verdenshandel,Ritzau,2018-06-01 17:22:03 UTC,2,0
35422,To landsbyer skyllet væk: Dæmning kollapset i Rift-dalen,Krig & katastrofer,2018-05-10 17:09:16 UTC,6818,0
6868,Hylder landsholdet: Ren business class!,Allan Olsen,2018-11-16 22:58:26 UTC,33545,1
27296,Marco betalte 60.000: Kræver at synshal betaler værkstedsregning på 12000,nationen,2018-06-12 16:09:29 UTC,111974,1
1482,Hel landsdel går sammen: Sådan skal demens bekæmpes,Tips og guides,2018-08-10 07:31:51 UTC,535,0
4119,TV: Midtbaneslider og matchvinder,Jyllandsyd,2018-11-08 19:01:34 UTC,283,0
3282,Bendtner erkender krisen: - Har ikke haft et skud på mål i tre kampe,Skandinavien,2018-04-08 18:28:28 UTC,7341,0
5078,"Nu brænder lokummet, Brøndby",Allan Olsen,2018-11-04 15:44:46 UTC,35891,1
32399,Ståle revser 'langsom' dommer: - Han må træne lidt mere i ferien,FC København,2018-05-19 08:30:28 UTC,11561,1
1082,Ekspert om Fergusons sygdom: Kan være ekstremt alvorlig,Manchesteru,2018-05-06 22:37:55 UTC,7290,0
25605,Lykkelig Nørgaard: Vi bliver ved med at tro på det,Brøndby,2018-04-19 22:48:24 UTC,1082,0
13246,Over 10 år efter: Sådan er Fritzls liv i fængslet ,Krimi,2018-09-19 11:04:13 UTC,186,0
4984,Syg målscorer kastede op efter AGF-fiasko,AGF,2018-11-26 22:20:29 UTC,28162,1
25960,Red Bull dropper Renault: Ny motor skal give titler,Formel 1,2018-06-19 11:14:22 UTC,43124,1
29332,Beckham skaber kæmpe debat: Må man kysse sit barn på munden?,Intl. kendte,2018-11-28 19:25:59 UTC,15961,1
15507,Spøgelsesbilist kører frontalt ind i bil på motorvej,Ritzau,2018-05-04 12:20:16 UTC,1,0
35372,Undersøgelser af kemisk angreb er mod forventning ikke begyndt,Krig & katastrofer,2018-04-16 13:47:31 UTC,1025,0
5487,Vanvittig afslutning: Racer eksploderer kort før målstregen,Motorsport,2018-10-03 17:24:05 UTC,13593,1
23471,Sverige ramt af den varmeste sommer i over 260 år,Samfund,2018-07-22 09:35:52 UTC,23750,1
6567,Michelin-kok med ny ret: Den lækreste luft du kommer til at spise ,Verden på vrangen,2018-11-16 20:17:41 UTC,19468,1
9152,Betjent undersøges: Sårede person med vådeskud,112,2018-11-03 09:50:15 UTC,47077,1
30406,Stilladsarbejdere og fædre: I skal ikke tvinge os til noget som helst,Dansk politik,2018-06-21 20:17:55 UTC,149703,1
28104,Apple advarer kunderne: Dette kan smadre din iPhone,Teknologi,2018-04-25 19:33:57 UTC,127079,1
27180,Badabing Bar,ingemann,2018-11-19 20:00:00 UTC,27241,1
12077,Anfører: 'Fuck ja - vi skal i finalen',Fyn,2018-11-14 19:20:13 UTC,231,0
27942,Denne hovedtelefon holder de forkerte lyde ude - og de rigtige inde,Teknologi,2018-07-17 19:56:39 UTC,9956,0
